前項條件,後項結果,支持度,信賴度,提升度
電影節目,音樂節目,0.36386226482073125,1.0,2.436851211072664
"網路服務, 電影節目",音樂節目,0.36386226482073125,1.0,2.436851211072664
電影節目,"網路服務, 音樂節目",0.36386226482073125,1.0,2.436851211072664
無限資料下載,網路服務,0.6574369897053604,1.0,1.3237781954887218
"電話服務, 無限資料下載",網路服務,0.5740149094781682,1.0,1.3237781954887218
"無紙化計費, 無限資料下載",網路服務,0.4334398296059638,1.0,1.3237781954887218
音樂節目,網路服務,0.4103656372026979,1.0,1.3237781954887218
"電話服務, 無限資料下載, 無紙化計費",網路服務,0.3887113951011715,1.0,1.3237781954887218
電視節目,網路服務,0.3677671281505147,1.0,1.3237781954887218
電影節目,網路服務,0.36386226482073125,1.0,1.3237781954887218
"電話服務, 音樂節目",網路服務,0.36386226482073125,1.0,1.3237781954887218
"電影節目, 音樂節目",網路服務,0.36386226482073125,1.0,1.3237781954887218
"無限資料下載, 音樂節目",網路服務,0.3532126375576855,1.0,1.3237781954887218
"無紙化計費, 無限資料下載","網路服務, 電話服務",0.3887113951011715,0.8968058968058968,1.364831016370725
音樂節目,電影節目,0.36386226482073125,0.8866782006920414,2.436851211072664
"網路服務, 音樂節目",電影節目,0.36386226482073125,0.8866782006920414,2.436851211072664
音樂節目,"網路服務, 電影節目",0.36386226482073125,0.8866782006920414,2.436851211072664
音樂節目,"網路服務, 電話服務",0.36386226482073125,0.8866782006920414,1.3494178775523937
"網路服務, 電話服務, 無紙化計費",無限資料下載,0.3887113951011715,0.8809332260659695,1.3399508087623304
"網路服務, 電話服務",無限資料下載,0.5740149094781682,0.873581847649919,1.3287689334934243
"網路服務, 無紙化計費",無限資料下載,0.4334398296059638,0.8733905579399142,1.3284779706893834
無限資料下載,"網路服務, 電話服務",0.5740149094781682,0.8731101511879049,1.3287689334934243
網路服務,無限資料下載,0.6574369897053604,0.8703007518796992,1.3237781954887218
音樂節目,無限資料下載,0.3532126375576855,0.860726643598616,1.3092154184758644
"網路服務, 音樂節目",無限資料下載,0.3532126375576855,0.860726643598616,1.3092154184758644
音樂節目,"網路服務, 無限資料下載",0.3532126375576855,0.860726643598616,1.3092154184758644
"網路服務, 無紙化計費","電話服務, 無限資料下載",0.3887113951011715,0.7832618025751074,1.3645321569907716
網路服務,"電話服務, 無限資料下載",0.5740149094781682,0.7598684210526315,1.3237781954887218
